"Ticker","Date/Time","close","percentgain","tomorrowgain","up_or_down"
"^GSPC",07/23/96,626.87,-1.0887,-0.0351,0
"^GSPC",07/24/96,626.65,-0.0351,0.7213,1
"^GSPC",07/25/96,631.17,0.7213,0.7494,1
"^GSPC",07/26/96,635.9,0.7494,-0.7847,0
"^GSPC",07/29/96,630.91,-0.7847,0.6895,1
"^GSPC",07/30/96,635.26,0.6895,0.7383,1
"^GSPC",07/31/96,639.95,0.7383,1.5736,1
"^GSPC",08/01/96,650.02,1.5736,1.9184,1
"^GSPC",08/02/96,662.49,1.9184,-0.3411,0
"^GSPC",08/05/96,660.23,-0.3411,0.3256,1
"^GSPC",08/06/96,662.38,0.3256,0.2687,0
"^GSPC",08/07/96,664.16,0.2687,-0.2364,0
"^GSPC",08/08/96,662.59,-0.2364,-0.074,0
"^GSPC",08/09/96,662.1,-0.074,0.5543,1
"^GSPC",08/12/96,665.77,0.5543,-0.8366,0
"^GSPC",08/13/96,660.2,-0.8366,0.2802,0
"^GSPC",08/14/96,662.05,0.2802,0.0347,0
"^GSPC",08/15/96,662.28,0.0347,0.4424,1
"^GSPC",08/16/96,665.21,0.4424,0.2059,0
"^GSPC",08/19/96,666.58,0.2059,-0.1335,0
"^GSPC",08/20/96,665.69,-0.1335,-0.0931,0
"^GSPC",08/21/96,665.07,-0.0931,0.8435,1
"^GSPC",08/22/96,670.68,0.8435,-0.5442,0
"^GSPC",08/23/96,667.03,-0.5442,-0.4722,0
"^GSPC",08/26/96,663.88,-0.4722,0.3796,1
"^GSPC",08/27/96,666.4,0.3796,-0.2386,0
"^GSPC",08/28/96,664.81,-0.2386,-1.1146,0
"^GSPC",08/29/96,657.4,-1.1146,-0.8229,0
"^GSPC",08/30/96,651.99,-0.8229,0.4187,1
"^GSPC",09/03/96,654.72,0.4187,0.1359,0
"^GSPC",09/04/96,655.61,0.1359,-0.9411,0
"^GSPC",09/05/96,649.44,-0.9411,0.9608,1
"^GSPC",09/06/96,655.68,0.9608,1.2323,1
"^GSPC",09/09/96,663.76,1.2323,0.0075,0
"^GSPC",09/10/96,663.81,0.0075,0.5227,1
"^GSPC",09/11/96,667.28,0.5227,0.58,1
"^GSPC",09/12/96,671.15,0.58,1.3991,1
"^GSPC",09/13/96,680.54,1.3991,0.5055,1
"^GSPC",09/16/96,683.98,0.5055,-0.152,0
"^GSPC",09/17/96,682.94,-0.152,-0.2153,0
"^GSPC",09/18/96,681.47,-0.2153,0.2245,0
"^GSPC",09/19/96,683,0.2245,0.59,1
"^GSPC",09/20/96,687.03,0.59,-0.0801,0
"^GSPC",09/23/96,686.48,-0.0801,-0.1267,0
"^GSPC",09/24/96,685.61,-0.1267,0.0321,0
"^GSPC",09/25/96,685.83,0.0321,0.0044,0
"^GSPC",09/26/96,685.86,0.0044,0.0481,0
"^GSPC",09/27/96,686.19,0.0481,0.1661,0
"^GSPC",09/30/96,687.33,0.1661,0.2546,0
"^GSPC",10/01/96,689.08,0.2546,0.7154,1
"^GSPC",10/02/96,694.01,0.7154,-0.1772,0
"^GSPC",10/03/96,692.78,-0.1772,1.2529,1
"^GSPC",10/04/96,701.46,1.2529,0.268,0
"^GSPC",10/07/96,703.34,0.268,-0.3839,0
"^GSPC",10/08/96,700.64,-0.3839,-0.5566,0
"^GSPC",10/09/96,696.74,-0.5566,-0.3057,0
"^GSPC",10/10/96,694.61,-0.3057,0.871,1
"^GSPC",10/11/96,700.66,0.871,0.411,1
"^GSPC",10/14/96,703.54,0.411,-0.1379,0
"^GSPC",10/15/96,702.57,-0.1379,0.2619,0
"^GSPC",10/16/96,704.41,0.2619,0.3663,1
"^GSPC",10/17/96,706.99,0.3663,0.5417,1
"^GSPC",10/18/96,710.82,0.5417,-0.1365,0
"^GSPC",10/21/96,709.85,-0.1365,-0.4621,0
"^GSPC",10/22/96,706.57,-0.4621,0.0991,0
"^GSPC",10/23/96,707.27,0.0991,-0.7041,0
"^GSPC",10/24/96,702.29,-0.7041,-0.1951,0
"^GSPC",10/25/96,700.92,-0.1951,-0.5222,0
"^GSPC",10/28/96,697.26,-0.5222,0.6081,1
"^GSPC",10/29/96,701.5,0.6081,-0.0855,0
"^GSPC",10/30/96,700.9,-0.0855,0.6235,1
"^GSPC",10/31/96,705.27,0.6235,-0.2127,0
"^GSPC",11/01/96,703.77,-0.2127,0.4206,1
"^GSPC",11/04/96,706.73,0.4206,1.0485,1
"^GSPC",11/05/96,714.14,1.0485,1.4633,1
"^GSPC",11/06/96,724.59,1.4633,0.4223,1
"^GSPC",11/07/96,727.65,0.4223,0.4356,1
"^GSPC",11/08/96,730.82,0.4356,0.1437,0
"^GSPC",11/11/96,731.87,0.1437,-0.3156,0
"^GSPC",11/12/96,729.56,-0.3156,0.2152,0
"^GSPC",11/13/96,731.13,0.2152,0.6497,1
"^GSPC",11/14/96,735.88,0.6497,0.2365,0
"^GSPC",11/15/96,737.62,0.2365,-0.0813,0
"^GSPC",11/18/96,737.02,-0.0813,0.6974,1
"^GSPC",11/19/96,742.16,0.6974,0.2412,0
"^GSPC",11/20/96,743.95,0.2412,-0.1613,0
"^GSPC",11/21/96,742.75,-0.1613,0.8051,1
"^GSPC",11/22/96,748.73,0.8051,1.1086,1
"^GSPC",11/25/96,757.03,1.1086,-0.1413,0
"^GSPC",11/26/96,755.96,-0.1413,-0.127,0
"^GSPC",11/27/96,755,-0.127,0.2676,0
"^GSPC",11/29/96,757.02,0.2676,-0.0608,0
"^GSPC",12/02/96,756.56,-0.0608,-1.0944,0
"^GSPC",12/03/96,748.28,-1.0944,-0.425,0
"^GSPC",12/04/96,745.1,-0.425,-0.0966,0
"^GSPC",12/05/96,744.38,-0.0966,-0.6421,0
"^GSPC",12/06/96,739.6,-0.6421,1.3737,1
"^GSPC",12/09/96,749.76,1.3737,-0.2961,0
"^GSPC",12/10/96,747.54,-0.2961,-0.911,0
"^GSPC",12/11/96,740.73,-0.911,-1.5431,0
"^GSPC",12/12/96,729.3,-1.5431,-0.0905,0
"^GSPC",12/13/96,728.64,-0.0905,-1.0513,0
"^GSPC",12/16/96,720.98,-1.0513,0.7018,1
"^GSPC",12/17/96,726.04,0.7018,0.7575,1
"^GSPC",12/18/96,731.54,0.7575,1.9438,1
"^GSPC",12/19/96,745.76,1.9438,0.417,1
"^GSPC",12/20/96,748.87,0.417,-0.2604,0
"^GSPC",12/23/96,746.92,-0.2604,0.5503,1
"^GSPC",12/24/96,751.03,0.5503,0.6378,1
"^GSPC",12/26/96,755.82,0.6378,0.1283,0
"^GSPC",12/27/96,756.79,0.1283,-0.3885,0
"^GSPC",12/30/96,753.85,-0.3885,-1.7391,0
"^GSPC",12/31/96,740.74,-1.7391,-0.5035,0
"^GSPC",01/02/97,737.01,-0.5035,1.4952,1
"^GSPC",01/03/97,748.03,1.4952,-0.0508,0
"^GSPC",01/06/97,747.65,-0.0508,0.7463,1
"^GSPC",01/07/97,753.23,0.7463,-0.6399,0
"^GSPC",01/08/97,748.41,-0.6399,0.8605,1
"^GSPC",01/09/97,754.85,0.8605,0.616,1
"^GSPC",01/10/97,759.5,0.616,0.0013,0
"^GSPC",01/13/97,759.51,0.0013,1.2311,1
"^GSPC",01/14/97,768.86,1.2311,-0.2159,0
"^GSPC",01/15/97,767.2,-0.2159,0.3324,1
"^GSPC",01/16/97,769.75,0.3324,0.834,1
"^GSPC",01/17/97,776.17,0.834,0.0683,0
"^GSPC",01/20/97,776.7,0.0683,0.7751,1
"^GSPC",01/21/97,782.72,0.7751,0.4484,1
"^GSPC",01/22/97,786.23,0.4484,-1.1027,0
"^GSPC",01/23/97,777.56,-1.1027,-0.9054,0
"^GSPC",01/24/97,770.52,-0.9054,-0.7138,0
"^GSPC",01/27/97,765.02,-0.7138,0,0
"^GSPC",01/28/97,765.02,0,0.9777,1
"^GSPC",01/29/97,772.5,0.9777,1.5107,1
"^GSPC",01/30/97,784.17,1.5107,0.2538,0
"^GSPC",01/31/97,786.16,0.2538,0.0725,0
"^GSPC",02/03/97,786.73,0.0725,0.3216,1
"^GSPC",02/04/97,789.26,0.3216,-1.3912,0
"^GSPC",02/05/97,778.28,-1.3912,0.2403,0
"^GSPC",02/06/97,780.15,0.2403,1.2062,1
"^GSPC",02/07/97,789.56,1.2062,-0.5231,0
"^GSPC",02/10/97,785.43,-0.5231,0.5297,1
"^GSPC",02/11/97,789.59,0.5297,1.6692,1
"^GSPC",02/12/97,802.77,1.6692,1.1273,1
"^GSPC",02/13/97,811.82,1.1273,-0.4114,0
"^GSPC",02/14/97,808.48,-0.4114,0.966,1
"^GSPC",02/18/97,816.29,0.966,-0.4655,0
"^GSPC",02/19/97,812.49,-0.4655,-1.1926,0
"^GSPC",02/20/97,802.8,-1.1926,-0.1283,0
"^GSPC",02/21/97,801.77,-0.1283,1.0614,1
"^GSPC",02/24/97,810.28,1.0614,0.216,0
"^GSPC",02/25/97,812.03,0.216,-0.782,0
"^GSPC",02/26/97,805.68,-0.782,-1.3169,0
"^GSPC",02/27/97,795.07,-1.3169,-0.5345,0
"^GSPC",02/28/97,790.82,-0.5345,0.5678,1
"^GSPC",03/03/97,795.31,0.5678,-0.5482,0
"^GSPC",03/04/97,790.95,-0.5482,1.3958,1
"^GSPC",03/05/97,801.99,1.3958,-0.4277,0
"^GSPC",03/06/97,798.56,-0.4277,0.8027,1
"^GSPC",03/07/97,804.97,0.8027,1.0783,1
"^GSPC",03/10/97,813.65,1.0783,-0.2839,0
"^GSPC",03/11/97,811.34,-0.2839,-0.8726,0
"^GSPC",03/12/97,804.26,-0.8726,-1.8278,0
"^GSPC",03/13/97,789.56,-1.8278,0.4572,1
"^GSPC",03/14/97,793.17,0.4572,0.3202,1
"^GSPC",03/17/97,795.71,0.3202,-0.7603,0
"^GSPC",03/18/97,789.66,-0.7603,-0.4926,0
"^GSPC",03/19/97,785.77,-0.4926,-0.3971,0
"^GSPC",03/20/97,782.65,-0.3971,0.1853,0
"^GSPC",03/21/97,784.1,0.1853,0.866,1
"^GSPC",03/24/97,790.89,0.866,-0.2301,0
"^GSPC",03/25/97,789.07,-0.2301,0.1812,0
"^GSPC",03/26/97,790.5,0.1812,-2.1025,0
"^GSPC",03/27/97,773.88,-2.1025,-2.1657,0
"^GSPC",03/31/97,757.12,-2.1657,0.3328,1
"^GSPC",04/01/97,759.64,0.3328,-1.2545,0
"^GSPC",04/02/97,750.11,-1.2545,0.028,0
"^GSPC",04/03/97,750.32,0.028,1.0102,1
"^GSPC",04/04/97,757.9,1.0102,0.5581,1
"^GSPC",04/07/97,762.13,0.5581,0.5235,1
"^GSPC",04/08/97,766.12,0.5235,-0.7205,0
"^GSPC",04/09/97,760.6,-0.7205,-0.2971,0
"^GSPC",04/10/97,758.34,-0.2971,-2.7283,0
"^GSPC",04/11/97,737.65,-2.7283,0.8242,1
"^GSPC",04/14/97,743.73,0.8242,1.4777,1
"^GSPC",04/15/97,754.72,1.4777,1.1673,1
"^GSPC",04/16/97,763.53,1.1673,-0.2305,0
"^GSPC",04/17/97,761.77,-0.2305,0.5999,1
"^GSPC",04/18/97,766.34,0.5999,-0.779,0
"^GSPC",04/21/97,760.37,-0.779,1.8728,1
"^GSPC",04/22/97,774.61,1.8728,-0.1252,0
"^GSPC",04/23/97,773.64,-0.1252,-0.318,0
"^GSPC",04/24/97,771.18,-0.318,-0.7534,0
"^GSPC",04/25/97,765.37,-0.7534,0.9917,1
"^GSPC",04/28/97,772.96,0.9917,2.7285,1
"^GSPC",04/29/97,794.05,2.7285,0.9181,1
"^GSPC",04/30/97,801.34,0.9181,-0.3507,0
"^GSPC",05/01/97,798.53,-0.3507,1.8083,1
"^GSPC",05/02/97,812.97,1.8083,2.1305,1
"^GSPC",05/05/97,830.29,2.1305,-0.3047,0
"^GSPC",05/06/97,827.76,-0.3047,-1.4666,0
"^GSPC",05/07/97,815.62,-1.4666,0.5689,1
"^GSPC",05/08/97,820.26,0.5689,0.551,1
"^GSPC",05/09/97,824.78,0.551,1.5616,1
"^GSPC",05/12/97,837.66,1.5616,-0.5408,0
"^GSPC",05/13/97,833.13,-0.5408,0.3493,1
"^GSPC",05/14/97,836.04,0.3493,0.6985,1
"^GSPC",05/15/97,841.88,0.6985,-1.4408,0
"^GSPC",05/16/97,829.75,-1.4408,0.4242,1
"^GSPC",05/19/97,833.27,0.4242,1.0069,1
"^GSPC",05/20/97,841.66,1.0069,-0.2745,0
"^GSPC",05/21/97,839.35,-0.2745,-0.4396,0
"^GSPC",05/22/97,835.66,-0.4396,1.3606,1
"^GSPC",05/23/97,847.03,1.3606,0.3164,1
"^GSPC",05/27/97,849.71,0.3164,-0.2942,0
"^GSPC",05/28/97,847.21,-0.2942,-0.3694,0
"^GSPC",05/29/97,844.08,-0.3694,0.4976,1
"^GSPC",05/30/97,848.28,0.4976,-0.2263,0
"^GSPC",06/02/97,846.36,-0.2263,-0.104,0
"^GSPC",06/03/97,845.48,-0.104,-0.6351,0
"^GSPC",06/04/97,840.11,-0.6351,0.3952,1
"^GSPC",06/05/97,843.43,0.3952,1.7287,1
"^GSPC",06/06/97,858.01,1.7287,0.5711,1
"^GSPC",06/09/97,862.91,0.5711,0.2735,0
"^GSPC",06/10/97,865.27,0.2735,0.497,1
"^GSPC",06/11/97,869.57,0.497,1.5973,1
"^GSPC",06/12/97,883.46,1.5973,1.1104,1
"^GSPC",06/13/97,893.27,1.1104,0.0705,0
"^GSPC",06/16/97,893.9,0.0705,0.0582,0
"^GSPC",06/17/97,894.42,0.0582,-0.5993,0
"^GSPC",06/18/97,889.06,-0.5993,1.0044,1
"^GSPC",06/19/97,897.99,1.0044,0.0791,0
"^GSPC",06/20/97,898.7,0.0791,-2.2343,0
"^GSPC",06/23/97,878.62,-2.2343,2.0168,1
"^GSPC",06/24/97,896.34,2.0168,-0.82,0
"^GSPC",06/25/97,888.99,-0.82,-0.5973,0
"^GSPC",06/26/97,883.68,-0.5973,0.4096,1
"^GSPC",06/27/97,887.3,0.4096,-0.2434,0
"^GSPC",06/30/97,885.14,-0.2434,0.6654,1
"^GSPC",07/01/97,891.03,0.6654,1.459,1
"^GSPC",07/02/97,904.03,1.459,1.4258,1
"^GSPC",07/03/97,916.92,1.4258,-0.5148,0
"^GSPC",07/07/97,912.2,-0.5148,0.718,1
"^GSPC",07/08/97,918.75,0.718,-1.2201,0
"^GSPC",07/09/97,907.54,-1.2201,0.6876,1
